,0,1
0,Rory McIlroy,1
1,Dustin Johnson,2
2,Brandon Hagy,3
3,Luke List,4
4,Ryan Brehm,4
5,Andrew Loupe,6
6,Brooks Koepka,7
7,Justin Thomas,8
8,Trey Mullinax,9
9,Kevin Tway,10
10,Tony Finau,10
11,Grayson Murray,12
12,Gary Woodland,13
13,J.B. Holmes,14
14,Adam Scott,15
15,Xander Schauffele,16
16,Jason Kokrak,17
17,Patrick Rodgers,18
18,Jason Day,19
19,Bubba Watson,20
20,Jon Rahm,20
21,Hudson Swafford,22
22,Kevin Chappell,23
23,Jamie Lovemark,24
24,Smylie Kaufman,25
25,Hideki Matsuyama,26
26,Ryan Palmer,27
27,Matt Jones,28
28,Harold Varner III,29
29,Harris English,30
30,Sergio Garcia,30
31,Tag Ridings,32
32,Jhonattan Vegas,33
33,Graham DeLaet,34
34,Nick Watney,35
35,Justin Rose,35
36,Robert Garrigus,37
37,Ollie Schniederjans,37
38,Martin Flores,39
39,Brendan Steele,40
40,Rickie Fowler,41
41,Byeong Hun An,41
42,Billy Horschel,43
43,Keegan Bradley,44
44,Bryson DeChambeau,45
45,Andres Gonzales,46
46,Charl Schwartzel,47
47,Patrick Cantlay,48
48,Charley Hoffman,49
49,Marc Leishman,50
50,Lucas Glover,50
51,Seung-Yul Noh,52
52,Seamus Power,53
53,Russell Henley,54
54,Rick Lamb,54
55,Matt Every,56
56,Scott Stallings,57
57,Paul Casey,58
58,Sean O'Hair,58
59,Cody Gribble,60
60,Anirban Lahiri,61
61,Martin Laird,62
62,Charles Howell III,62
63,Daniel Berger,62
64,Stewart Cink,65
65,Kyle Stanley,66
66,Shane Lowry,67
67,Sung Kang,67
68,Louis Oosthuizen,69
69,Brian Campbell,70
70,Sebastián Muñoz,70
71,Bud Cauley,72
72,Scott Piercy,72
73,Jimmy Walker,74
74,Jordan Spieth,75
75,Patrick Reed,75
76,J.T. Poston,77
77,Jason Dufner,78
78,Hunter Mahan,79
79,Dominic Bozzelli,80
80,Robert Streb,81
81,Mackenzie Hughes,81
82,J.J. Henry,83
83,Kevin Streelman,84
84,Shawn Stefani,84
85,Morgan Hoffmann,86
86,James Hahn,86
87,Sam Saunders,88
88,Phil Mickelson,89
89,Julián Etulain,89
90,Emiliano Grillo,91
91,Patton Kizzire,92
92,Bill Haas,92
93,Aaron Baddeley,94
94,Cameron Smith,94
95,Cameron Percy,96
96,Jim Herman,96
97,Francesco Molinari,98
98,Gonzalo Fernandez-Castaño,99
99,Branden Grace,100
100,Kelly Kraft,101
101,Retief Goosen,102
102,Rafa Cabrera Bello,103
103,Ben Martin,103
104,Nick Taylor,105
105,Rory Sabbatini,105
106,J.J. Spaun,107
107,Adam Hadwin,108
108,Richy Werenski,109
109,Blayne Barber,109
110,Danny Lee,111
111,Pat Perez,112
112,David Lingmerth,113
113,Troy Merritt,114
114,Whee Kim,115
115,Brian Harman,116
116,Boo Weekley,116
117,Si Woo Kim,118
118,Michael Kim,119
119,Kevin Kisner,120
120,Scott Brown,121
121,Jonas Blixt,122
122,Ryo Ishikawa,122
123,Camilo Villegas,124
124,Brett Stegmaier,124
125,Russell Knox,126
126,Brad Fritsch,127
127,Miguel Angel Carballo,128
128,Johnson Wagner,128
129,Ryan Moore,130
130,Rod Pampling,131
131,Jonathan Randolph,132
132,Steven Bowditch,133
133,Tyrone Van Aswegen,134
134,C.T. Pan,134
135,Daniel Summerhays,136
136,John Huh,136
137,Nicholas Lindheim,136
138,Chris Kirk,139
139,Zach Johnson,140
140,Chris Stroud,141
141,Webb Simpson,142
142,Derek Fathauer,142
