,0,1
0,Corey Conners,1
1,Johnson Wagner,2
2,Alex Prugh,3
3,Paul Casey,4
4,Jason Dufner,5
5,Justin Thomas,6
6,Charles Howell III,7
7,Josh Teater,8
8,Scott Piercy,9
9,Brendan Steele,10
10,Brooks Koepka,11
11,Shawn Stefani,12
12,Talor Gooch,12
13,Martin Laird,14
14,Kevin Streelman,15
15,Jason Day,16
16,Cameron Tringale,17
17,Brice Garnett,18
18,Adam Svensson,19
19,Hideki Matsuyama,20
20,Matt Kuchar,20
21,Cameron Champ,22
22,Jhonattan Vegas,23
23,Jim Furyk,24
24,Hank Lebioda,25
25,Sepp Straka,26
26,Russell Knox,26
27,Gary Woodland,28
28,Jon Rahm,29
29,Adam Scott,30
30,Troy Merritt,31
31,Jason Kokrak,32
32,Cameron Davis,33
33,Emiliano Grillo,34
34,John Chin,35
35,Nick Watney,36
36,Adam Schenk,36
37,Aaron Wise,38
38,Rory McIlroy,39
39,Keegan Bradley,40
40,Tyler Duncan,41
41,Roberto Castro,42
42,Xander Schauffele,43
43,J.J. Spaun,44
44,Ryan Palmer,45
45,Hunter Mahan,46
46,Sebastián Muñoz,47
47,Dylan Frittelli,48
48,Ryan Moore,49
49,Lucas Glover,50
50,Fabián Gómez,51
51,Russell Henley,51
52,Joaquin Niemann,53
53,Sam Ryder,54
54,Bronson Burgoon,54
55,Chase Wright,56
56,Chez Reavie,57
57,Carlos Ortiz,58
58,Rickie Fowler,59
59,Byeong Hun An,60
60,Jim Knous,61
61,Anders Albertson,61
62,Brandon Harkins,63
63,Kyoung-Hoon Lee,64
64,Wes Roach,65
65,Billy Horschel,66
66,Sungjae Im,67
67,Ryan Armour,68
68,Adam Hadwin,69
69,Trey Mullinax,70
70,David Hearn,71
71,Nate Lashley,72
72,Kyle Stanley,73
73,Tony Finau,74
74,Keith Mitchell,75
75,Nick Taylor,76
76,Marc Leishman,77
77,Patrick Cantlay,77
78,Bud Cauley,77
79,Harold Varner III,77
80,Andrew Landry,81
81,Kramer Hickok,82
82,Kevin Tway,83
83,Beau Hossler,84
84,Kevin Kisner,85
85,Dustin Johnson,86
86,Tommy Fleetwood,87
87,Dominic Bozzelli,88
88,Rory Sabbatini,89
89,Ian Poulter,90
90,Vaughn Taylor,91
91,Harris English,91
92,Louis Oosthuizen,93
93,J.T. Poston,93
94,Seth Reeves,95
95,Abraham Ancer,96
96,Bubba Watson,97
97,Hudson Swafford,97
98,Danny Lee,99
99,Scott Stallings,99
100,Joel Dahmen,101
101,J.J. Henry,102
102,Matt Jones,103
103,Roberto Díaz,104
104,Scott Brown,105
105,Charley Hoffman,106
106,Ben Silverman,107
107,Joey Garber,108
108,"Ted Potter, Jr.",109
109,Tyrrell Hatton,110
110,Danny Willett,111
111,Patrick Reed,112
112,Jim Herman,113
113,Bryson DeChambeau,113
114,Whee Kim,115
115,Sung Kang,116
116,Robert Streb,117
117,Henrik Stenson,118
118,Branden Grace,119
119,Peter Uihlein,120
120,Kyle Jones,121
121,Denny McCarthy,122
122,Stephan Jaeger,123
123,Wyndham Clark,124
124,Andrew Putnam,125
125,Richy Werenski,126
126,Webb Simpson,127
127,Tom Hoge,128
128,Michael Thompson,129
129,Austin Cook,130
130,J.B. Holmes,131
131,Luke List,132
132,Pat Perez,133
133,Alex Noren,134
134,Mackenzie Hughes,134
135,Adam Long,134
136,Jonathan Byrd,137
137,Daniel Berger,138
138,Max Homa,139
139,Jonas Blixt,140
140,Roger Sloan,141
141,Ryan Blaum,142
142,Brandt Snedeker,143
