,Year,Player,Place,r1,r2,r3,r4,Tot,TP,Money,1,2,3,4,Hit,Rank,Yards,Rank.1,Hit.1,Rank.2,Avg,Tot.1,Rank.3,p3s,p4s,p5s,Egls,Brds,Pars,Bgys,Otrs
0,2019,Tiger Woods,1,70,68,67,70,275,-13,2070000,11,6,2,1,35,47,294.6,44,58,1,30.0,120,44,-4,-1,-8,0,22,41,9,0
1,2019,Dustin Johnson,2,68,70,70,68,276,-12,858667,4,6,7,2,34,54,308.0,11,51,10,28.3,113,9,-1,1,-12,0,17,50,5,0
2,2019,Brooks Koepka,2,66,71,69,70,276,-12,858667,1,1,4,2,39,29,313.6,3,53,6,29.5,118,38,3,-2,-13,2,19,42,7,0
3,2019,Xander Schauffele,2,73,65,70,68,276,-12,858667,44,6,7,2,35,47,305.8,13,51,10,28.8,115,18,-1,1,-12,0,25,35,11,0
4,2019,Francesco Molinari,5,70,67,66,74,277,-11,403938,11,1,1,5,41,15,294.8,43,47,35,26.3,105,1,-1,-3,-7,0,17,51,2,0
5,2019,Jason Day,5,70,67,73,67,277,-11,403938,11,1,14,5,37,37,296.5,38,51,10,28.0,112,5,-2,0,-9,0,19,46,6,0
6,2019,Webb Simpson,5,72,71,64,70,277,-11,403938,29,29,5,5,47,2,283.1,64,49,21,28.0,112,5,1,-3,-9,2,14,49,7,0
7,2019,Tony Finau,5,71,70,64,72,277,-11,403938,21,16,2,5,38,36,316.3,1,48,26,28.0,112,5,1,1,-13,1,16,49,5,0
8,2019,Rickie Fowler,9,70,71,68,69,278,-10,310500,11,16,12,9,43,6,300.5,21,46,40,26.5,106,2,-2,3,-11,1,17,45,9,0
9,2019,Patrick Cantlay,9,73,73,64,68,278,-10,310500,44,50,14,9,36,44,299.9,24,44,54,26.5,106,2,-1,-1,-8,1,18,44,8,0
10,2019,Jon Rahm,9,69,70,71,68,278,-10,310500,6,10,14,9,43,6,308.4,10,51,10,30.5,122,51,0,-2,-8,2,12,52,6,0
11,2019,Matt Kuchar,12,71,69,68,72,280,-8,225400,21,12,7,12,41,15,294.1,45,53,6,29.0,116,24,1,2,-11,2,16,42,12,0
12,2019,Ian Poulter,12,68,71,68,73,280,-8,225400,4,10,5,12,39,29,296.8,36,55,2,30.8,123,54,-2,3,-9,0,17,47,7,0
13,2019,Bubba Watson,12,72,72,67,69,280,-8,225400,29,36,20,12,32,60,292.9,48,50,17,30.0,120,44,1,2,-11,2,12,50,8,0
14,2019,Justin Harding,12,69,69,70,72,280,-8,225400,6,6,7,12,42,13,298.4,31,45,45,27.0,108,4,-3,0,-5,0,21,38,13,0
15,2019,Justin Thomas,12,73,68,69,70,280,-8,225400,44,16,14,12,41,15,312.3,5,55,2,30.0,120,44,-2,1,-7,2,11,52,7,0
16,2019,Aaron Wise,17,75,71,68,67,281,-7,184000,63,50,31,17,37,37,305.8,13,49,21,28.8,115,18,-2,2,-7,0,19,42,10,0
17,2019,Phil Mickelson,18,67,73,70,72,282,-6,161000,3,12,14,18,29,64,299.4,27,48,26,28.5,114,15,-4,4,-6,0,17,45,9,0
18,2019,Adam Scott,18,69,68,72,73,282,-6,161000,6,1,12,18,40,21,310.3,9,54,4,30.0,120,44,3,1,-10,1,14,48,8,0
19,2019,Patton Kizzire,18,70,70,73,69,282,-6,161000,11,12,25,18,40,21,299.9,24,48,26,28.3,113,9,2,-3,-5,1,14,47,10,0
20,2019,Rory McIlroy,21,73,71,71,68,283,-5,107956,44,36,39,21,33,58,314.4,2,45,45,29.3,117,35,-1,7,-11,3,15,38,16,0
21,2019,Kevin Kisner,21,69,73,72,69,283,-5,107956,6,23,31,21,41,15,289.0,58,51,10,28.5,114,15,2,3,-10,0,17,45,8,0
22,2019,Kyle Stanley,21,72,72,70,69,283,-5,107956,29,36,31,21,39,29,286.6,63,48,26,29.0,116,24,2,2,-9,1,14,46,11,0
23,2019,Lucas Bjerregaard,21,70,72,69,72,283,-5,107956,11,23,20,21,43,6,310.6,8,49,21,30.3,121,49,3,4,-12,2,13,47,8,0
24,2019,Thorbjorn Olesen,21,71,71,68,73,283,-5,107956,21,23,14,21,40,21,300.4,22,52,8,30.5,122,51,0,4,-9,0,15,47,10,0
25,2019,Jordan Spieth,21,75,68,69,71,283,-5,107956,63,29,22,21,37,37,292.6,49,50,17,29.0,116,24,-1,0,-4,0,17,45,8,0
26,2019,Si Woo Kim,21,72,72,70,69,283,-5,107956,29,36,31,21,40,21,297.6,33,46,40,28.3,113,9,5,0,-10,0,19,41,10,0
27,2019,Matthew Fitzpatrick,21,78,67,68,70,283,-5,107956,80,46,25,21,34,54,294.0,46,44,54,28.3,113,9,-1,8,-12,1,17,41,12,0
28,2019,Charley Hoffman,29,71,71,72,70,284,-4,78200,21,23,31,29,36,44,295.5,41,48,26,29.3,117,35,-1,4,-7,0,18,40,14,0
29,2019,Louis Oosthuizen,29,71,66,71,76,284,-4,78200,21,1,7,29,40,21,293.4,47,48,26,29.0,116,24,-1,-2,-1,0,16,45,10,0
30,2019,Bryson DeChambeau,29,66,75,73,70,284,-4,78200,1,16,31,29,37,37,299.6,26,45,45,28.3,113,9,-3,7,-8,1,19,38,11,0
31,2019,Charles Howell III,32,73,67,76,69,285,-3,68042,44,12,43,32,39,29,294.9,42,51,10,31.0,124,58,0,5,-8,1,15,42,14,0
32,2019,Gary Woodland,32,70,71,74,70,285,-3,68042,11,16,39,32,31,62,313.6,3,45,45,30.0,120,44,1,4,-8,0,16,43,13,0
33,2019,Hideki Matsuyama,32,75,70,68,72,285,-3,68042,63,46,25,32,34,54,303.1,16,46,40,28.8,115,18,-2,6,-7,0,19,39,12,0
34,2019,Viktor Hovland,32,72,71,71,71,285,-3,0,29,29,31,32,42,13,297.8,32,54,4,30.8,123,54,4,2,-9,1,17,38,16,0
35,2019,Henrik Stenson,36,74,72,67,73,286,-2,55488,58,50,25,36,46,3,289.9,54,45,45,29.0,116,24,1,3,-6,0,17,43,10,0
36,2019,Jimmy Walker,36,72,72,72,70,286,-2,55488,29,36,43,36,35,47,292.5,50,42,59,28.0,112,5,3,-1,-4,0,14,46,12,0
37,2019,Rafael Cabrera-Bello,36,73,70,75,68,286,-2,55488,44,29,50,36,33,58,296.6,37,48,26,29.3,117,35,-2,6,-6,0,15,46,10,0
38,2019,Tommy Fleetwood,36,71,71,70,74,286,-2,55488,21,23,22,36,39,29,302.5,17,51,10,31.0,124,58,1,1,-4,0,13,48,11,0
39,2019,Kevin Tway,36,72,71,70,73,286,-2,55488,29,29,25,36,28,65,303.5,15,46,40,29.0,116,24,1,6,-9,0,17,41,13,0
40,2019,Patrick Reed,36,73,70,74,69,286,-2,55488,44,29,47,36,43,6,296.1,39,42,59,29.0,116,24,3,5,-10,1,14,43,14,0
41,2019,Alvaro Ortiz Becerra,36,73,71,73,69,286,-2,0,44,36,47,36,37,37,297.6,33,48,26,29.8,119,42,1,3,-6,1,14,43,14,0
42,2019,Keegan Bradley,43,76,68,71,72,287,-1,44850,73,36,39,43,40,21,291.3,51,48,26,29.5,118,38,-1,9,-9,0,17,42,10,0
43,2019,Haotong Li,43,72,74,73,68,287,-1,44850,29,50,57,43,39,29,298.6,29,49,21,30.5,122,51,3,4,-8,0,15,44,12,0
44,2019,Keith Mitchell,43,72,74,72,69,287,-1,44850,29,50,50,43,35,47,311.5,6,42,59,28.8,115,18,3,5,-9,2,14,40,15,0
45,2018,Patrick Reed,1,69,66,67,71,273,-15,1980000,4,1,1,1,41,13,299.3,6,48,21,26.0,104,1,4,-6,-13,2,22,37,11,0
