,Year,Player,Place,r1,r2,r3,r4,Tot,TP,Money,1,2,3,4,Hit,Rank,Yards,Rank.1,Hit.1,Rank.2,Avg,Tot.1,Rank.3,p3s,p4s,p5s,Egls,Brds,Pars,Bgys,Otrs
0,2019,Shane Lowry,1,67,67,63,72,269,-15,1935000,2,1,1,1,35,22,301.1,12,57,1,29.3,117,22,-4,-7,-4,0,23,41,8,0
1,2019,Tommy Fleetwood,2,68,67,66,74,275,-9,1120000,3,3,2,2,36,16,289.1,48,50,13,28.8,115,12,-1,-2,-6,0,16,50,5,0
2,2019,Tony Finau,3,68,70,68,71,277,-7,718000,3,12,8,3,30,55,301.4,10,54,3,30.0,120,46,3,-4,-6,0,14,51,7,0
3,2019,Lee Westwood,4,68,67,70,73,278,-6,503500,3,3,6,4,40,4,298.8,17,54,3,30.0,120,46,-4,2,-4,0,17,44,11,0
4,2019,Brooks Koepka,4,68,69,67,74,278,-6,503500,3,8,4,4,36,16,299.3,14,47,34,29.0,116,16,1,-1,-6,1,14,47,10,0
5,2019,Rickie Fowler,6,70,69,66,74,279,-5,313000,20,18,6,6,37,12,283.9,57,53,5,29.0,116,16,-1,0,-4,0,18,43,9,0
6,2019,Danny Willett,6,74,67,65,73,279,-5,313000,94,32,8,6,29,61,290.1,42,50,13,28.3,113,5,2,-1,-6,0,18,43,9,0
7,2019,Tyrrell Hatton,6,68,71,71,69,279,-5,313000,3,18,23,6,39,8,306.3,4,53,5,29.8,119,39,3,-4,-4,0,15,48,8,0
8,2019,Robert MacIntyre,6,68,72,71,68,279,-5,313000,3,25,29,6,26,68,299.1,15,49,22,28.5,114,8,-1,2,-6,1,14,46,11,0
9,2019,Patrick Reed,10,71,67,71,71,280,-4,223000,42,12,19,10,31,46,283.6,59,47,34,28.8,115,12,-1,2,-5,0,13,50,9,0
10,2019,Francesco Molinari,11,74,69,72,66,281,-3,171700,94,58,54,11,28,64,283.3,61,56,2,31.0,124,67,1,1,-5,1,9,55,6,0
11,2019,Alex Noren,11,68,71,68,74,281,-3,171700,3,18,12,11,35,22,295.0,26,48,25,29.5,118,28,-2,1,-2,0,15,45,12,0
12,2019,Justin Thomas,11,71,70,68,72,281,-3,171700,42,32,19,11,23,72,288.4,51,48,25,28.5,114,8,-3,3,-3,0,17,44,9,0
13,2019,Tom Lewis,11,75,68,68,70,281,-3,171700,113,58,29,11,37,12,294.1,29,52,9,30.8,123,61,1,1,-5,1,14,46,9,0
