,Year,Player,Place,r1,r2,r3,r4,Tot,TP,Money,1,2,3,4,Hit,Rank,Yards,Rank.1,Hit.1,Rank.2,Avg,Tot.1,Rank.3,p3s,p4s,p5s,Egls,Brds,Pars,Bgys,Otrs
0,2019,Gary Woodland,1,68,65,69,69,271,-13,2250000,8,1,1,1,40,22,310.9,5,52,2,27.5,110,19,-2,-6,-5,0,17,51,4,0
1,2019,Brooks Koepka,2,69,69,68,68,274,-10,1350000,16,6,3,2,40,22,310.9,5,54,1,28.8,115,52,-2,-5,-3,0,16,50,6,0
2,2019,Justin Rose,3,65,70,68,74,277,-7,581872,1,2,2,3,33,62,301.6,32,39,59,26.0,104,2,-1,1,-7,1,15,46,10,0
3,2019,Chez Reavie,3,68,70,68,71,277,-7,581872,8,6,3,3,42,11,292.8,60,46,13,27.8,111,25,-1,-2,-4,0,13,53,6,0
4,2019,Jon Rahm,3,69,70,70,68,277,-7,581872,16,11,9,3,32,70,305.1,23,46,13,27.8,111,25,-3,-1,-3,0,18,43,11,0
5,2019,Xander Schauffele,3,66,73,71,67,277,-7,581872,2,11,14,3,38,37,311.1,4,44,27,27.0,108,9,-1,-3,-3,1,17,43,10,0
6,2019,Adam Scott,7,70,69,71,68,278,-6,367387,28,11,14,7,37,42,298.6,42,51,3,28.8,115,52,-2,1,-5,1,18,40,12,0
7,2019,Louis Oosthuizen,7,66,70,70,72,278,-6,367387,2,3,3,7,46,3,299.3,40,46,13,27.8,111,25,-1,-2,-3,1,18,40,12,0
8,2019,Henrik Stenson,9,68,71,70,70,279,-5,288715,8,11,9,9,47,1,269.5,79,46,13,28.3,113,38,-3,3,-5,0,15,47,10,0
9,2019,Rory McIlroy,9,68,69,70,72,279,-5,288715,8,4,6,9,39,32,318.1,1,43,34,26.8,107,7,0,-3,-2,0,18,44,7,0
10,2019,Chesson Hadley,9,68,70,70,71,279,-5,288715,8,6,7,9,41,15,297.3,48,46,13,27.3,109,13,0,3,-8,1,16,44,9,0
11,2019,Danny Willett,12,71,71,67,71,280,-4,226609,40,32,9,12,41,15,304.0,25,42,42,26.5,106,5,-2,4,-6,0,17,43,11,0
12,2019,Matthew Fitzpatrick,12,69,71,72,68,280,-4,226609,16,19,23,12,40,22,291.1,62,42,42,27.0,108,9,1,1,-6,0,15,46,11,0
13,2019,Viktor Hovland,12,69,73,71,67,280,-4,0,16,32,27,12,47,1,296.9,49,51,3,29.5,118,67,2,-2,-4,0,16,45,10,0
14,2019,Matt Wallace,12,70,68,71,71,280,-4,226609,28,6,9,12,32,70,308.9,10,44,27,27.5,110,19,-3,7,-8,1,17,42,9,0
15,2019,Matt Kuchar,16,69,69,70,73,281,-3,172455,16,6,7,16,37,42,288.6,65,40,51,27.0,108,9,2,2,-7,2,13,44,12,0
16,2019,Francesco Molinari,16,68,72,71,70,281,-3,172455,8,19,17,16,40,22,287.9,67,39,59,26.3,105,3,2,0,-5,0,17,44,8,0
17,2019,Graeme McDowell,16,69,70,70,72,281,-3,172455,16,11,9,16,41,15,297.4,47,44,27,27.5,110,19,0,4,-7,1,13,47,10,0
18,2019,Webb Simpson,16,74,68,73,66,281,-3,172455,98,32,41,16,35,55,286.8,69,34,77,25.5,102,1,0,3,-6,2,14,41,15,0
19,2019,Byeong Hun An,16,70,72,68,71,281,-3,172455,28,32,14,16,35,55,307.4,14,43,34,27.3,109,13,-1,-1,-1,0,14,48,9,0
20,2019,Tiger Woods,21,70,72,71,69,282,-2,117598,28,32,27,21,41,15,297.8,45,45,19,28.5,114,46,2,0,-4,0,15,45,11,0
21,2019,Paul Casey,21,70,72,73,67,282,-2,117598,28,32,41,21,38,37,306.6,17,48,8,29.0,116,59,2,0,-4,0,15,46,9,0
22,2019,Jason Day,21,70,73,70,69,282,-2,117598,28,45,27,21,33,62,306.8,16,44,27,28.3,113,38,0,4,-6,1,10,52,8,0
23,2019,Alex Prugh,21,75,69,70,68,282,-2,117598,115,56,33,21,44,6,305.3,22,45,19,28.8,115,52,1,2,-5,0,16,43,12,0
