Year,Player,Place,r1,r2,r3,r4,Tot,TP,Money,1,2,3,4,Hit,Rank,Yards,Rank2,Hit3,Rank4,Avg,Tot5,Rank6,p3s,p4s,p5s,Egls,Brds,Pars,Bgys,Otrs
2019,Brooks Koepka,1,63,65,70,74,272,-8,1980000,1,1,1,1,32,44,313,10,53,1,29.5,118,33,1,-6,-3,0,19,42,11,0
2019,Dustin Johnson,2,69,67,69,69,274,-6,1188000,9,4,2,2,32,44,335.6,1,49,6,27.8,111,5,1,-4,-3,0,18,42,12,0
2019,Jordan Spieth,3,69,66,72,71,278,-2,575500,9,2,8,3,27,75,303.3,32,44,34,28,112,7,-2,3,-3,0,13,50,7,0
2019,Patrick Cantlay,3,69,70,68,71,278,-2,575500,9,19,8,3,36,19,314.6,7,46,20,28.3,113,10,1,3,-6,0,12,51,8,0
2019,Matt Wallace,3,69,67,70,72,278,-2,575500,9,4,6,3,30,61,300.3,41,41,57,27,108,2,2,-2,-2,0,15,45,11,0
2019,Luke List,6,68,68,69,74,279,-1,380000,4,4,2,6,25,79,319,2,42,47,27.3,109,3,5,1,-7,1,16,41,12,0
2019,Sung Kang,7,68,70,70,72,280,0,343650,4,10,12,7,37,13,308.1,19,45,27,29,116,18,1,1,-2,0,12,50,9,0
2019,Matt Kuchar,8,70,70,72,69,281,1,264395,17,26,26,8,36,19,297.8,47,47,12,29.8,119,39,4,1,-4,0,13,47,10,0
2019,Adam Scott,8,71,64,72,74,281,1,264395,41,2,8,8,27,75,301.5,37,42,47,28.5,114,14,4,-1,-2,0,13,46,12,0
2019,Rory McIlroy,8,72,71,69,69,281,1,264395,51,57,26,8,28,71,317.4,4,47,12,29.5,118,33,-1,8,-6,1,10,50,9,0
2019,Gary Woodland,8,70,70,73,68,281,1,264395,17,26,39,8,34,29,311.4,12,51,2,30.3,121,51,4,1,-4,0,15,45,8,0
2019,Shane Lowry,8,75,69,68,69,281,1,264395,112,68,26,8,35,22,300,42,46,20,29.3,117,25,1,2,-2,0,9,53,10,0
2019,Erik Van Rooyen,8,70,68,70,73,281,1,264395,17,10,12,8,35,22,305.3,26,48,9,29.5,118,33,-2,4,-1,0,17,38,16,0
2019,Chez Reavie,14,68,71,71,72,282,2,191665,4,19,16,14,37,13,289.1,68,36,76,26.8,107,1,3,-1,0,0,13,44,15,0
2019,Jazz Janewattananond,14,70,68,67,77,282,2,191665,17,10,2,14,32,44,304,30,45,27,28.8,115,15,3,2,-3,0,12,47,12,0
2019,Lucas Glover,16,72,69,69,73,283,3,143100,51,36,16,16,34,29,297,49,39,65,28,112,7,-3,9,-3,1,10,47,13,0
2019,Brandt Snedeker,16,74,67,73,69,283,3,143100,91,36,48,16,40,3,279.8,81,44,34,29.3,117,25,1,6,-4,0,12,46,13,0
2019,Mike Lorenzo-Vera,16,68,71,75,69,283,3,143100,4,19,48,16,29,66,302,36,40,62,28,112,7,2,5,-4,0,12,46,13,0
